haskell-text-icu 0.7.0.1-37
haskell-th-abstraction 0.4.2.0-2
haskell-th-compat 0.1.1-4
haskell-these 1.1.1.1-59
haskell-time-compat 1.9.5-32
haskell-tls 1.5.5-4
haskell-transformers-compat 0.6.6-3
haskell-typed-process 0.2.6.0-94
haskell-unicode-transforms 0.3.7.1-42
haskell-uniplate 1.6.13-36
haskell-unliftio-core 0.2.0.1-6
haskell-unordered-containers 0.2.13.0-43
haskell-utf8-string 1.0.2-17
haskell-uuid-types 1.0.3-89
haskell-vector 0.12.2.0-22
haskell-vector-algorithms 0.8.0.4-32
haskell-x509 1.7.5-124
haskell-x509-store 1.6.7-123
haskell-x509-system 1.6.6-191
haskell-x509-validation 1.6.11-123
haskell-xml 1.3.14-27
haskell-xml-conduit 1.9.0.0-113
haskell-xml-types 0.3.8-5
haskell-zip-archive 0.4.1-97
haskell-zlib 0.6.2.2-5
hdf5 1.12.0-2
heroku-cli 7.47.11-2
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
hspell 1.4-3
htop 3.0.5-1
http-parser 2.9.4-1
hugo 0.80.0-1
hunspell 1.7.0-3
hwids 20201207-1
hwloc 2.4.0-1
hyphen 2.8.8-3
i3-gaps 4.19.1-1
i3lock 2.13-1
iana-etc 20210202-1
icu 68.2-1
iftop 1.0pre4-4
ijs 0.35-3
imagemagick 7.0.11.0-1
imgcat 1.2.0-2
imlib2 1.7.1-1
inetutils 1.9.4-8
inkscape 1.0.2-3
intel-gmmlib 20.4.1-1
intel-media-driver 20.4.5-1
intel-mkl 2020.4.304-1
intltool 0.51.0-6
iproute2 5.10.0-2
iptables 1:1.8.7-1
iputils 20200821-1
irssi 1.2.2-4
iso-codes 4.5.0-1
itstool 1:2.0.6-2
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.25-1
java-runtime-common 3-3
jbig2dec 0.19-1
jemalloc 1:5.2.1-3
jq 1.6-4
jre-openjdk 15.0.2.u7-1
jre-openjdk-headless 15.0.2.u7-1
js78 78.7.1-1
json-c 0.15-1
json-glib 1.6.2-1
jsoncpp 1.9.4-1
kaccounts-integration 20.12.2-1
karchive 5.79.0-1
kauth 5.79.0-1
kbd 2.3.0-2
kbookmarks 5.79.0-1
kcmutils 5.79.0-1
kcodecs 5.79.0-1
kcompletion 5.79.0-1
kconfig 5.79.0-1
kconfigwidgets 5.79.0-1
